county,cc,mc,year,month,fatalities
,,,2001,1,46
,,,2001,2,56
,,,2001,3,62
,,,2001,4,38
,,,2001,5,63
,,,2001,6,66
,,,2001,7,64
,,,2001,8,59
,,,2001,9,60
,,,2001,10,55
,,,2001,11,60
,,,2001,12,78
,,,2002,1,69
,,,2002,2,47
,,,2002,3,54
,,,2002,4,58
,,,2002,5,43
,,,2002,6,73
,,,2002,7,71
,,,2002,8,53
,,,2002,9,79
,,,2002,10,84
,,,2002,11,47
,,,2002,12,56
,,,2003,1,57
,,,2003,2,42
,,,2003,3,49
,,,2003,4,47
,,,2003,5,69
,,,2003,6,85
,,,2003,7,56
,,,2003,8,76
,,,2003,9,51
,,,2003,10,61
,,,2003,11,58
,,,2003,12,50
,,,2004,1,50
,,,2004,2,48
,,,2004,3,43
,,,2004,4,40
,,,2004,5,59
,,,2004,6,63
,,,2004,7,63
,,,2004,8,61
,,,2004,9,62
,,,2004,10,71
,,,2004,11,56
,,,2004,12,59
,,,2005,1,47
,,,2005,2,32
,,,2005,3,57
,,,2005,4,57
,,,2005,5,50
,,,2005,6,76
,,,2005,7,66
,,,2005,8,64
,,,2005,9,69
,,,2005,10,65
,,,2005,11,71
,,,2005,12,60
,,,2006,1,68
,,,2006,2,42
,,,2006,3,63
,,,2006,4,65
,,,2006,5,70
,,,2006,6,41
,,,2006,7,72
,,,2006,8,66
,,,2006,9,75
,,,2006,10,67
,,,2006,11,63
,,,2006,12,71
,,,2007,1,69
,,,2007,2,45
,,,2007,3,57
,,,2007,4,41
,,,2007,5,54
,,,2007,6,67
,,,2007,7,79
,,,2007,8,65
,,,2007,9,63
,,,2007,10,70
,,,2007,11,53
,,,2007,12,59
,,,2008,1,59
,,,2008,2,40
,,,2008,3,33
,,,2008,4,50
,,,2008,5,46
,,,2008,6,51
,,,2008,7,55
,,,2008,8,52
,,,2008,9,46
,,,2008,10,60
,,,2008,11,52
,,,2008,12,46
,,,2009,1,57
,,,2009,2,45
,,,2009,3,35
,,,2009,4,48
,,,2009,5,43
,,,2009,6,51
,,,2009,7,56
,,,2009,8,57
,,,2009,9,52
,,,2009,10,42
,,,2009,11,49
,,,2009,12,49
,,,2010,1,37
,,,2010,2,28
,,,2010,3,45
,,,2010,4,55
,,,2010,5,40
,,,2010,6,52
,,,2010,7,61
,,,2010,8,42
,,,2010,9,56
,,,2010,10,50
,,,2010,11,39
,,,2010,12,51
,,,2011,1,36
,,,2011,2,45
,,,2011,3,47
,,,2011,4,57
,,,2011,5,57
,,,2011,6,49
,,,2011,7,60
,,,2011,8,47
,,,2011,9,50
,,,2011,10,66
,,,2011,11,53
,,,2011,12,60
,,,2012,1,52
,,,2012,2,40
,,,2012,3,45
,,,2012,4,44
,,,2012,5,44
,,,2012,6,48
,,,2012,7,58
,,,2012,8,44
,,,2012,9,54
,,,2012,10,54
,,,2012,11,56
,,,2012,12,50
,,,2013,1,42
,,,2013,2,21
,,,2013,3,57
,,,2013,4,32
,,,2013,5,46
,,,2013,6,52
,,,2013,7,41
,,,2013,8,60
,,,2013,9,43
,,,2013,10,42
,,,2013,11,52
,,,2013,12,54
,,,2014,1,39
,,,2014,2,31
,,,2014,3,48
,,,2014,4,43
,,,2014,5,50
,,,2014,6,52
,,,2014,7,50
,,,2014,8,57
,,,2014,9,48
,,,2014,10,39
,,,2014,11,44
,,,2014,12,55
,,,2015,1,41
,,,2015,2,37
,,,2015,3,40
,,,2015,4,30
,,,2015,5,50
,,,2015,6,55
,,,2015,7,46
,,,2015,8,45
,,,2015,9,57
,,,2015,10,45
,,,2015,11,53
,,,2015,12,63
,,,2016,1,42
,,,2016,2,42
,,,2016,3,44
,,,2016,4,42
,,,2016,5,51
,,,2016,6,47
,,,2016,7,60
,,,2016,8,61
,,,2016,9,48
,,,2016,10,60
,,,2016,11,51
,,,2016,12,54
,,,2017,1,45
,,,2017,2,25
,,,2017,3,45
,,,2017,4,44
,,,2017,5,45
,,,2017,6,59
,,,2017,7,62
,,,2017,8,51
,,,2017,9,62
,,,2017,10,65
,,,2017,11,64
,,,2017,12,57
,,,2018,1,52
,,,2018,2,41
,,,2018,3,24
,,,2018,4,45
,,,2018,5,50
,,,2018,6,51
,,,2018,7,59
,,,2018,8,36
,,,2018,9,44
,,,2018,10,59
,,,2018,11,55
,,,2018,12,47
,,,2019,1,45
,,,2019,2,40
,,,2019,3,34
,,,2019,4,41
,,,2019,5,44
,,,2019,6,45
,,,2019,7,49
,,,2019,8,52
,,,2019,9,65
,,,2019,10,61
,,,2019,11,31
,,,2019,12,51
,,,2020,1,49
,,,2020,2,34
,,,2020,3,36
,,,2020,4,28
,,,2020,5,52
,,,2020,6,47
,,,2020,7,62
,,,2020,8,54
,,,2020,9,57
,,,2020,10,58
,,,2020,11,63
,,,2020,12,47
,,,2021,1,49
,,,2021,2,26
